pfTop: Up State 1-22/93, View: default, Order: none
PR    D SRC                   DEST                 STATE   AGE   EXP  PKTS BYTES
tcp   O 192.168.2.1:8644      192.168.2.114:8086    4:4  2754m 86390  397K   50M
tcp   I 192.168.2.108:60368   207.11.86.5:443       4:4  46811 42217 30940   12M
tcp   O 71.204.69.161:19924   207.11.86.5:443       4:4  46811 42217 30940   12M
tcp   I 192.168.2.108:60297   207.11.86.5:443       4:4  43486 46222 29028 8505K
tcp   O 71.204.69.161:63764   207.11.86.5:443       4:4  43486 46222 29028 8505K
tcp   I 192.168.2.108:63982   207.11.86.6:443       4:4  80637 33197 5331K 1543M
tcp   O 71.204.69.161:61615   207.11.86.6:443       4:4  80637 33197 5331K 1543M
tcp   I 192.168.2.106:37257   216.239.36.131:5061   4:4  16746 86390  1114   99K
tcp   O 10.26.0.46:56963      216.239.36.131:5061   4:4  16746 86390  1114   99K
ipv6- O fe80::2e0:67ff:fe22:e fe80::201:5cff:fe8d:  0:0   2060    10  7934  379K
tcp   I 192.168.2.102:57144   52.71.183.225:443     9:4    277   747    20  7208
tcp   O 71.204.69.161:43712   52.71.183.225:443     4:9    277   747    20  7208
tcp   O 2001:558:6011:9f:84c0 2607:ee80:10::119:41 10:10   141    78    52 10838
udp   I 192.168.2.101:43283   192.168.2.255:7788    0:1     69     0     1    88
ipv6- I fe80::2e0:67ff:fe22:e ff02::1[16576]        0:0     45     0     3   528
udp   I 192.168.2.105:59030   192.168.2.1:53        1:2      5    25     2   251
udp   O 10.17.0.20:50769      1.1.1.1:53            2:1      5    25     2   273
udp   O 10.17.0.20:7594       1.1.1.1:53            2:1      5    25     2   417
udp   O 10.17.0.20:56146      1.0.0.1:53            2:1      5    25     2   394
udp   O 10.17.0.20:61332      1.1.1.1:53            2:1      5    25     2   953
udp   O 10.17.0.20:20145      1.0.0.1:53            2:1      5    25     2   250
udp   O 10.17.0.20:30994      1.1.1.1:53            2:1      5    25     2   250

